AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
90,P. J. Joseph,KEC,67495,48.63,K. I. Antony,KC(M),47236,34.03,20259
91,Roshy Augustine,KC(M),62368,47.48,K. Francis George,KEC,56795,43.24,5573
92,Vazhoor Soman,CPI,60141,47.25,Syriac Thomas,INC,58306,45.81,1835
93,Mani C. Kappan,KDP,69804,50.43,Jose K. Mani,KC(M),54426,39.32,15378
94,Monce Joseph,KEC,59666,45.4,Stephen George,KC(M),55410,42.17,4256
95,C. K. Asha,CPI,71388,55.96,P. R. Sona,INC,42266,33.13,29122
96,V. N. Vasavan,CPI(M),58289,46.2,Prince Lukose,KEC,43986,34.86,14303
97,Thiruvanchoor Radhakrishnan,INC,65401,53.72,K. Anilkumar,CPI(M),46658,38.33,18743
98,Oommen Chandy,INC,63372,48.08,Jaick C. Thomas,CPI(M),54328,41.22,9044
99,Job Michael,KC(M),55425,44.85,V. J. Laly,KEC,49366,39.94,6059
100,N. Jayaraj,KC(M),60299,43.79,Joseph Vazhackan,INC,46596,33.84,13703
101,Sebastian Kulathunkal,KC(M),58668,41.94,P. C. George,KJ(S),41851,29.92,16817
102,Daleema Jojo,CPI(M),75617,45.97,Shanimol Usman,INC,68604,41.71,7013
103,P. Prasad,CPI,83702,47.0,S. Sarath,INC,77554,43.55,6148
104,P. P. Chitharanjan,CPI(M),73412,46.33,K. S. Manoj,INC,61768,38.98,11644
105,H. Salam,CPI(M),61365,44.79,M. Liju,INC,50240,36.67,11125
106,Thomas K. Thomas,NCP,57379,45.67,Jacob Abraham,KEC,51863,41.28,5516
107,Ramesh Chennithala,INC,72768,48.31,R. Sajilal,CPI,59102,39.24,13666
108,U. Prathibha,CPI(M),77348,47.97,Aritha Babu,INC,71050,44.06,6298
109,M. S. Arun Kumar,CPI(M),71743,47.61,K. K. Shaju,INC,47026,31.21,24717
110,Saji Cherian,CPI(M),71502,48.58,M. Murali,INC,39409,26.78,32093
111,Mathew T. Thomas,JD(S),62178,44.56,Kunju Koshy Paul,KEC,50757,36.37,11421
112,Pramod Narayan,KC(M),52669,41.22,Rinku Cheriyan,INC,51384,40.21,1285
113,Veena George,CPI(M),74950,46.3,K. Sivadasan Nair,INC,55947,34.56,19003
114,K. U. Jenish Kumar,CPI(M),62318,41.62,Robin Peter,INC,53810,35.94,8508
115,Chittayam Gopakumar,CPI,66569,42.83,M G Kannan,INC,63650,40.96,2919
116,C. R. Mahesh,INC,94225,54.38,R. Ramachandran,CPI(M),65017,37.52,29208
117,Sujith Vijayanpillai,IND,63282,44.29,Shibu Baby John,RSP,62186,43.52,1096
118,Kovoor Kunjumon,IND,69436,43.13,Ullas Kovoor,RSP,66646,41.4,2790
119,K. N. Balagopal,CPI(M),68770,45.98,Resmi R.,INC,57956,38.75,10814
120,K. B. Ganesh Kumar,KC(B),67276,49.09,Jyothikumar Chamakkala,INC,52940,38.63,14336
121,P. S. Supal,CPI,80428,54.99,Abdurahiman Randathani,IUML,43371,29.66,37057
122,J. Chinchu Rani,CPI,67252,45.69,M. M. Naseer,INC,53574,36.4,13678
123,P. C. Vishnunath,INC,76405,48.85,J. Mercykutty Amma,CPI(M),71882,45.96,4523
124,Mukesh,CPI(M),58524,44.86,Bindhu Krishna,INC,56452,43.27,2072
125,M. Noushad,CPI(M),71573,56.25,Babu Divakaran,RSP,43452,34.15,28121
126,G. S. Jayalal,CPI,59296,43.12,B. B. Gopakumar,BJP,42090,30.61,17206
127,V. Joy,CPI(M),68816,50.89,B. R. M. Shefeer,INC,50995,37.71,17821
128,O. S. Ambika,CPI(M),69898,47.35,P. Sudheer,BJP,38262,25.92,31636
129,V. Sasi,CPI,62634,43.17,B. S. Anoop,INC,48617,33.51,14017
130,G. R. Anil,CPI,72742,47.54,P. S. Prasanth,INC,49433,32.31,23309
131,D. K. Murali,CPI(M),73137,49.91,Anad Jayan,INC,62895,42.92,10242
132,Kadakampally Surendran,CPI(M),63690,46.04,Sobha Surendran,BJP,40193,29.06,23497
133,V. K. Prasanth,CPI(M),61111,41.44,V.V. Rajesh,BJP,39596,28.77,21515
134,Antony Raju,JKC,48748,38.01,V. S. Sivakumar,INC,41659,32.49,7089
135,V. Sivankutty,CPI(M),55837,38.24,Kummanam Rajasekharan,BJP,51888,35.54,3949
136,G. Stephen,CPI(M),66776,45.83,K. S. Sabarinathan,INC,61730,42.37,5046
137,C. K. Hareendran,CPI(M),78548,48.16,Sajitha Ressal,INC,52720,32.23,25828
138,I. B. Sathish,CPI(M),66293,45.49,Malayinkeezhu Venugopal,INC,43062,29.55,23231
139,M. Vincent,INC,74868,47.06,Neelalohithadasan Nadar,JD(S),63306,39.79,11562
140,K. Ansalan,CPI(M),65497,47.02,R. Selvaraj,INC,51235,36.78,14262
