AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
110,Chandrima Bhattacharya,TMC,95465,44.79,Archana Majumdar,BJP,66966,31.42,28499
111,Nirmal Ghosh,TMC,86495,49.61,Sanmoy Banerjee,BJP,61318,35.17,25177
112,Madan Mitra,TMC,73845,51.17,Anindya Banerjee,BJP,38437,26.64,35408
113,Tapas Roy,TMC,85615,53.42,Parno Mitra,BJP,50468,31.49,35147
114,Bratya Basu,TMC,87999,47.48,Bimal Shankar Nanda,BJP,61368,33.06,26731
115,Tapash Chatterjee,TMC,127374,54.22,Bhaskar Roy,BJP,70942,30.2,56432
116,Sujit Bose,TMC,75912,46.85,Sabyasachi Dutta,BJP,67915,41.91,7997
117,Aditi Munshi,TMC,87650,49.04,Samik Bhattacharya,BJP,62354,34.89,25296
118,Rathin Ghosh,TMC,112741,48.93,Rajasree Rajbanshi,BJP,64615,28.04,48126
119,Chiranjeet Chakraborty,TMC,104431,46.27,Shankar Chatterjee,BJP,80648,35.73,23783
120,Rahima Mondal,TMC,100105,46.7,Karim Ali,ISF,67568,31.52,32537
121,Haji Nurul Islam,TMC,130398,57.34,Kutubuddin Fathe,ISF,49420,21.73,80978
122,Usha Rani Mondal,TMC,109818,51.72,Jayanta Mondal,BJP,53988,25.42,55830
123,Sukumar Mahata,TMC,112450,54.64,Bhaskar Sardar,BJP,72765,35.36,39685
124,Saptarshi Banerjee,TMC,115873,49.15,Tarak Nath Ghosh,BJP,91405,38.77,24468
125,Rafikul Islam Mondal,TMC,137216,57.55,Mohammad Baijid Amin,ISF,47865,20.08,89351
126,Debesh Mondal,TMC,104706,53.78,Nemai Das,BJP,79790,40.98,24916
127,Jayanta Naskar,TMC,105723,53.99,Barun Pramanik,BJP,82014,41.88,23709
128,Shyamal Mondal,TMC,111453,52.1,Ramesh Majhi,BJP,60811,28.43,50642
129,Ganesh Chandra Mondal,TMC,117238,51.57,Mintu Halder,BJP,70061,30.82,47177
130,Samir Kumar Jana,TMC,120181,51.85,Asit Kumar Haldar,BJP,98047,42.3,22134
131,Manturam Pakhira,TMC,114493,52.14,Dipankar Jana,BJP,89191,40.62,25302
132,Bankim Chandra Hazra,TMC,129000,53.96,Kamila Bikash,BJP,99154,41.48,29846
133,Jogaranjan Halder,TMC,96577,50.01,Pranab Kumar Mallik,BJP,62759,32.5,33818
134,Aloke Jaldata,TMC,115707,48.47,Santanu Bapuli,BJP,80139,33.57,35568
135,Joydeb Halder,TMC,95834,48.04,Dilip Kumar Jatua,BJP,72342,36.26,23492
136,Biswanath Das,TMC,104952,51.85,Rabin Sardar,BJP,66269,32.74,38683
137,Bivas Sardar,TMC,123243,54.75,Chandan Mondal,BJP,73602,32.7,49641
138,Paresh Ram Das,TMC,111059,50.86,Arnab Roy,BJP,75816,34.72,35243
139,Saokat Molla,TMC,122301,52.54,Gazi Shahabuddin Siraji,ISF,69294,29.77,53007
140,Biman Banerjee,TMC,121006,57.27,Debopam Chattopadhyaya,BJP,59096,27.97,61910
141,Namita Saha,TMC,110945,53.82,Chandan Kumar Naskar,BJP,56866,27.58,54079
142,Giasuddin Molla,TMC,97006,49.93,Manas Dhurjati Saha,BJP,50065,25.77,46941
143,Pannalal Halder,TMC,98478,43.69,Dipak Kumar Halder,BJP,81482,36.15,16996
144,Shankar Kumar Naskar,TMC,117179,56.35,Bidhan Parui,BJP,76405,36.75,40774
145,Mohan Chandra Naskar,TMC,118635,50.37,Chandan Pal,BJP,95317,40.47,23318
146,Dilip Mondal,TMC,136509,57.46,Agniswar Naskar,BJP,77677,32.7,58832
147,Arundhuti Maitra,TMC,109222,46.92,Anjana Basu,BJP,83041,35.67,26181
148,Nawsad Siddique,ISF,109237,45.1,Karim Rezaul,TMC,83086,34.31,26151
149,Javed Ahmed Khan,TMC,121372,54.39,Indranil Khan,BJP,57750,25.88,63622
150,Debabrata Majumdar,TMC,98100,45.54,Sujan Chakraborty,CPI(M),59231,27.5,38869
151,Firdousi Begum,TMC,119957,49.88,Ranjan Baidya,BJP,83867,34.87,36090
152,Aroop Biswas,TMC,101440,51.4,Babul Supriyo,BJP,51360,26.02,50080
153,Ratna Chatterjee,TMC,110968,50.01,Payel Sarkar,BJP,73540,33.15,37428
154,Partha Chatterjee,TMC,114778,49.51,Srabanti Chatterjee,BJP,63894,27.56,50884
155,Dulal Chandra Das,TMC,124008,56.38,Umesh Das,BJP,66059,30.03,57949
156,Ashok Kumar Deb,TMC,122357,56.41,Tarun Kumar Adak,BJP,77643,35.8,44714
157,Abdul Khaleque Molla,TMC,151066,76.85,Ramjit Prasad,BJP,31462,16.0,119604
158,Firhad Hakim,TMC,105543,69.23,Awadh Kishore Gupta,BJP,36989,24.26,68554
159,Sovandeb Chattopadhyay,TMC,73505,57.71,Rudranil Ghosh,BJP,44786,35.16,28719
160,Debasish Kumar,TMC,65704,52.79,Subrata Saha,BJP,44290,35.59,21414
161,Subrata Mukherjee,TMC,106585,70.6,Lokenath Chatterjee,BJP,31226,20.68,75359
162,Nayna Bandyopadhyay,TMC,70101,62.87,Devdutta Maji,BJP,24757,22.2,45344
163,Swarna Kamal Saha,TMC,101709,64.83,Priyanka Tibrewal,BJP,43452,27.7,58257
164,Paresh Paul,TMC,103182,65.1,Kashinath Biswas,BJP,36042,22.74,67140
165,Vivek Gupta,TMC,52123,52.67,Meena Devi Purohit,BJP,39380,39.8,12743
166,Shashi Panja,TMC,55785,54.18,Sandipan Biswas,BJP,33265,32.31,22520
167,Sadhan Pande,TMC,67577,50.82,Kalyan Chaubey,BJP,47339,35.6,20238
168,Atin Ghosh,TMC,76182,56.48,Sibaji Sinha Roy,BJP,40792,30.24,35390
169,Rana Chatterjee,TMC,53347,42.38,Baishali Dalmiya,BJP,47110,37.43,6237
170,Gautam Chowdhuri,TMC,71575,47.81,Umesh Rai,BJP,66053,44.12,5522
171,Arup Roy,TMC,111554,57.16,Sanjay Singh,BJP,65007,33.31,46547
