AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
95,Ajanta Neog,BJP,81651,50.63,Bitupan Saikia,INC,72326,44.84,9325
96,Mrinal Saikia,BJP,65655,56.49,Bismita Gogoi,INC,38522,33.14,27133
97,Bhabendra Nath Bharali,AGP,64043,48.12,Bani Hazarika,INC,51546,38.73,12497
98,Hitendra Nath Goswami,BJP,68321,48.84,Rana Goswami,INC,61833,44.2,6488
99,Sarbananda Sonowal,BJP,71436,67.53,Rajib Lochan Pegu,INC,28244,26.7,43192
100,Bhaskar Jyoti Baruah,INC,64303,52.89,Hemanta Kalita,BJP,50924,41.89,13397
101,Rupjyoti Kurmi,INC,47308,49.36,Ramani Tanti,BJP,44862,46.81,2446
102,Renupoma Rajkhowa,AGP,47555,45.78,Pallabi Gogoi,INC,46205,44.48,1350
103,Prodip Hazarika,AGP,49891,48.03,Angkita Dutta,INC,43712,42.08,6179
104,Debabrata Saikia,INC,52387,47.56,Mayur Borgohain,BJP,51704,46.94,683
105,Jogen Mohan,BJP,51282,45.18,Suruj Dehingia,INC,38147,33.61,13135
106,Dharmeswar Konwar,BJP,69690,48.0,Sushil Kumar Suri,INC,54573,37.59,15117
107,Sushanta Borgohain,INC,48026,49.56,Kushal Dowari,BJP,46020,47.49,2006
108,Akhil Gogoi,IND,57219,46.06,Surabhi Rajkonwari,BJP,45344,36.5,11875
109,Amiya Kumar Bhuyan,BJP,58979,48.53,Bhupen Kumar Borah,INC,48801,40.16,10178
110,Bharat Chandra Narah,INC,52905,27.34,Ajijur Rahman,IND,49292,25.47,3613
111,Manab Deka,BJP,70387,45.03,Dr. Joy Prakash Das,INC,67351,43.09,3036
112,Naba Kumar Doley,BJP,86382,50.83,Padmalochan Doley,INC,76786,45.18,9596
113,Ranoj Pegu,BJP,87681,45.33,Chittaranjan Basumatary,AJP,56889,29.41,30792
114,Bhubon Pegu,BJP,168411,68.69,Hema Hari Prasanna Pegu,INC,57424,23.42,110987
115,Chakradhar Gogoi,BJP,55604,49.68,Pranjal Ghatowar,INC,33263,29.72,22341
116,Prasanta Phukan,BJP,68762,60.44,Rajkumar Nilanetra Neog,INC,30757,27.03,38005
117,Binod Hazarika,BJP,59295,48.13,Manoj Dhanowar,INC,42047,34.13,17248
118,Terash Gowalla,BJP,54762,43.35,Dhruba Gogoi,INC,46652,36.08,8110
119,Bimal Borah,BJP,62675,52.66,Etuwa Munda,INC,34282,28.8,28394
120,Taranga Gogoi,BJP,47268,42.57,Pranati Phukan,INC,32292,29.08,14976
121,Ponakan Baruah,AGP,53554,41.4,Ajoy Phukan,INC,34824,26.92,18730
122,Sanjoy Kishan,BJP,85857,65.58,Shamsher Singh,AJP,15060,11.5,70797
123,Suren Phukan,BJP,59217,55.24,Shibanath Chetia,INC,32241,30.8,26976
124,Bhaskar Sharma,BJP,86640,56.52,Manoranjan Borgohain,INC,28140,18.36,58500
125,Rupesh Gowala,BJP,49119,41.72,Durga Bhumij,INC,40981,34.8,8138
126,Bolin Chetia,BJP,64855,45.49,Lakhin Chandra Chetia,INC,42771,30.0,22084
