AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
99,S. Muthusamy,DMK,100757,49.01,K. V. Ramalingam,ADMK,78668,38.27,22089
100,Dr. C.K. Saraswathi,BJP,78125,42.96,Subbulakshmi Jagadeesan,DMK,77844,42.81,281
101,N. Kayalvizhi,DMK,89986,46.39,L. Murugan,BJP,88593,45.67,1393
102,M. P. Saminathan,DMK,94197,47.14,A. S. Ramalingam,ADMK,86866,43.47,7331
103,S. Jayakumar,ADMK,85125,44.84,K. K. C. Balu,DMK,70618,37.2,14507
104,K. C. Karuppannan,ADMK,100915,50.11,K. P. Durairaj,DMK,78392,38.93,22523
105,A. G. Venkatachalam,DMK,79096,44.84,K. S. Shanmugavel,ADMK,77821,44.12,1275
106,K. A. Sengottaiyan,ADMK,108608,50.68,G. V. Manimaaran,DMK,80045,37.36,28563
107,A. Bannari,ADMK,99181,49.45,P. L. Sundaram,CPI,83173,41.47,16008
108,R. Ganesh,INC,65530,46.44,M. Bhojarajan,BJP,60182,42.65,5348
109,Pon. Jayaseelan,ADMK,64496,46.65,S. Kasilingam,DMK,62551,45.24,1945
110,K. Ramachandran,DMK,61820,45.49,Kappachi D. Vinoth,ADMK,57715,42.47,4105
111,A. K. Selvaraj,ADMK,105231,46.75,T. R. Shanmuga Sundaram,DMK,102775,45.66,2456
112,P. Dhanapal,ADMK,117284,55.16,R. Athiyamaan,DMK,66382,31.22,50982
113,K. N. Vijayakumar,ADMK,113384,47.62,Subramanian M.,CPI,73282,30.78,40102
114,K. Selvaraj,DMK,75535,43.31,Gunasekaran S,ADMK,70826,40.61,4709
115,M. S. M. Anandan,ADMK,126903,48.53,K. Muthurathinam,DMK,94212,36.03,32691
116,V. P. Kandasamy,ADMK,118968,49.23,M. Kalichamy,DMK,87036,36.02,32302
117,G. Arunkumar,ADMK,135669,43.78,R Krishnan,DMK,125893,40.62,9776
118,Amman K. Arjunan,ADMK,81454,40.16,V M Shamuga Sundaram,DMK,77453,38.19,4001
119,S. P. Velumani,ADMK,124225,53.89,Karthikeya Sivasenapathy,DMK,82595,35.83,41630
120,Vanathi Srinivasan,BJP,53209,34.38,Kamal Haasan,MNM,51481,33.26,1728
121,K. R. Jayaram,ADMK,81244,40.22,Karthik N,DMK,70390,34.84,10854
122,S. Damodaran,ADMK,101537,43.68,Kuruchi Prabhakaran,DMK,100442,43.21,1095
123,Pollachi V. Jayaraman,ADMK,80567,45.44,K. Varadharajan,DMK,78842,44.47,1725
124,T. K. Amulkandasami,ADMK,71672,49.37,Arumugam M.,CPI,59449,40.95,12223
125,Udumalai K. Radhakrishnan,ADMK,96893,49.85,K. Thennarsu,INC,74998,38.59,21895
126,C. Mahendran,ADMK,84313,46.35,Jayaramakrishnan,DMK,77875,42.81,6438
127,I. P. Senthil Kumar,DMK,108566,52.86,K. Ravi Manoharan,ADMK,78510,38.23,30056
128,R. Sakkarapani,DMK,109970,54.51,N. P. Nataraj,ADMK,81228,40.26,28742
129,I. Periyasamy,DMK,165809,72.11,M Thilagabama,PMK,30238,13.15,135571
130,S. Thenmozhi,ADMK,91461,49.49,S. K. Murugavel Rajan,DMK,63843,34.55,27618
131,Natham R. Viswanathan,ADMK,107762,47.84,M. A. Andi Ambalam,DMK,95830,42.54,11932
132,Dindigul C. Sreenivaasan,ADMK,90545,46.83,N. Pandi,CPI(M),72848,34.34,17697
133,S. Gandhirajan,DMK,106481,49.97,V. P. B. Paramasivam,ADMK,88928,41.73,17553
134,R. Elango,DMK,93369,52.72,K. Annamalai,BJP,68553,38.71,24816
135,V. Senthilbalaji,DMK,101757,49.08,M. R. Vijayabhaskar,ADMK,89309,43.08,12448
136,K. Sivagama Sundari,DMK,96540,53.37,N. Muthukumar (A) Thanesh,ADMK,64915,35.88,29625
137,R. Manickam,DMK,100829,51.06,N. R. Chandrasekar,ADMK,77289,39.14,23540
138,P. Abdul Samad,DMK,98077,44.23,Chandraseker. R,ADMK,85834,38.71,12243
139,M. Palaniyandi,DMK,113904,47.41,K. P. Krishnan,ADMK,93989,39.12,19915
140,K. N. Nehru,DMK,118133,64.52,V. Padmanathan,ADMK,33024,18.04,85109
141,Inigo S. Irudayaraj,DMK,94302,54.56,Vellamandi N. Natarajan,ADMK,40505,23.43,53797
142,Anbil Mahesh,DMK,105424,53.51,P. Kumar,ADMK,55727,28.29,49697
143,A. Soundara Pandian,DMK,84914,48.59,D. R. Dharmarajè,ADMK,67965,38.89,16949
144,S. Kathiravan,DMK,116334,59.14,M. Paranjothi,ADMK,56716,28.83,59618
145,N. Thiyagarajan,DMK,90624,50.43,M. Selvarasu,ADMK,63788,35.5,26836
146,S. Stalinkumar,DMK,87786,49.91,T. Indira Gandhi,ADMK,65715,37.36,22071
147,M. Prabhakaran,DMK,122090,50.87,R. Thamizhselvan,ADMK,90325,37.94,31765
148,S. S. Sivasankar,DMK,103922,47.26,R. T. Ramachandran,ADMK,97593,44.38,6329
149,K. Chinnappa,DMK,103975,46.16,Thamarai S. Rajendran,ADMK,100741,44.73,3234
150,Ka. So. Ka. Kannan,DMK,99529,46.0,K. Balu,PMK,94077,43.48,5452
151,C. V. Ganesan,DMK,83726,49.78,D. Periyasamy,BJP,62163,36.96,21563
152,R. Radhakrishnan,INC,77064,39.17,J. Karthikeyan,PMK,76202,38.73,862
153,Saba Rajendran,DMK,75177,45.8,K. Jagan,PMK,74200,45.21,977
154,T. Velmurugan,DMK,93801,47.6,R. Rajendran,ADMK,89104,45.22,4697
155,G. Iyappan,DMK,84563,46.46,M. C. Sampath,ADMK,79412,43.63,5151
156,M. R. K. Panneerselvam,DMK,101456,51.04,Selvi Ramajayam,ADMK,83929,42.22,17527
157,A. Arunmozhithevan,ADMK,96453,48.92,Durai K. Saravanan,DMK,88194,44.73,8259
158,K. A. Pandian,ADMK,91961,50.16,A. S. Abdul Rahman Rabbani,IUML,75024,40.92,16937
159,Sinthanai Selvan,VCK,86056,49.02,N. Murugumaran,ADMK,74608,43.0,11448
160,M. Panneerselvam,DMK,94057,49.16,P. V. Bharathi,ADMK,81909,42.81,12148
161,S. Rajakumar,INC,73642,42.17,Sithamalli A. Palanisami,PMK,70900,40.6,2742
162,Nivedha M. Murugan,DMK,96102,46.24,S. Pavunraj,ADMK,92803,44.65,3299
163,Aloor Shanavas,VCK,66281,46.17,Thanga Kathiravan,ADMK,59043,41.13,7238
164,Nagai Maali (A) P. Mahalingam,CPI(M),67988,47.55,Vadivel Ravanan,PMK,51003,35.67,16985
165,O. S. Manian,ADMK,78719,49.8,S. K. Vetharathinam,DMK,66390,42.0,12329
166,K. Marimuthu,CPI,97092,52.23,C. Suresh Kumar,ADMK,67024,36.06,30068
167,Dr. T. R. B. Rajaa,DMK,87172,45.11,Siva. Rajamanickam,ADMK,49779,25.76,37393
168,K. Poondi Kalaivanan,DMK,108906,52.29,A. N. R. Panneerselvam,ADMK,57732,27.72,51174
169,R. Kamaraj,ADMK,103637,46.7,S. Jothiraman,DMK,99213,44.7,4424
170,Govi. Chezhiyan,DMK,95763,48.26,Union S. Veeramani,ADMK,85083,42.87,10680
171,G. Anbalagan,DMK,96057,48.62,M. Srithar Vandayar,ADMK,74674,37.8,21383
172,Dr. M. H. Jawahirullah,DMK,86567,43.95,K. Gopinathan,ADMK,70294,35.69,16273
173,Durai Chandrasekaran,DMK,103210,48.82,Poondi S. Venkatesan,BJP,49560,23.44,53650
174,T. K. G. Neelamegam,DMK,103772,53.25,V. Arivudainambi,ADMK,56623,29.06,47149
175,R. Vaithilingam,ADMK,90063,46.95,M. Ramachandran,DMK,61228,31.92,28835
176,K. Annadurai,DMK,79065,44.62,N. R. Rengarajan,ADMK,53796,30.36,25269
177,Peravurani N. Ashokkumar,DMK,89130,52.17,S. V. Thirugnana Sambandam,ADMK,65627,38.41,23503
178,M. Chinnadurai,CPI(M),69710,44.23,S. Jayabharati,ADMK,56989,36.16,12721
179,C. Vijayabaskar,ADMK,102179,52.83,M. Palaniappan,DMK,78581,40.63,23598
180,Dr. V. Muthuraja,DMK,85802,47.7,V. R. Karthik Thondaiman,ADMK,72801,40.47,13001
181,S. Regupathy,DMK,71349,41.0,P. K. Vairamuthu,ADMK,69967,40.2,1382
182,Meyyanathan Siva V,DMK,87935,51.17,Dharma. Thangavel,ADMK,62088,36.13,25847
183,T. Ramachandran,INC,81835,48.7,M. Rajanayagam,ADMK,50942,30.31,30893
184,S. Mangudi,INC,75954,35.75,H. Raja,BJP,54365,25.59,21589
185,K. R. Periyakaruppan,DMK,103682,49.19,Marudhu Alaguraj,ADMK,66308,31.46,37374
186,P. R. Senthilnathan,ADMK,82153,40.66,S. Gunasekaran,CPI(M),70900,35.09,11253
187,A. Tamilarasi,DMK,89364,44.01,S. Nagarajan,ADMK,75273,37.07,14091
188,P. Selvam,ADMK,83344,45.6,T. Ravichandran,INC,48182,26.36,35162
189,P. Moorthy,DMK,122729,51.59,Gopalakrishnan,ADMK,73125,30.74,49604
190,A. Venkatesan,DMK,84240,48.04,Manickam,ADMK,67195,38.32,17045
191,G. Thalapathi,DMK,73010,46.64,P. Saravanan,BJP,50094,32.0,22916
192,M. Boominathan,DMK,62812,42.49,S.S.Saravanan,ADMK,56297,38.08,6515
193,Palanivel Thiagarajan,DMK,73205,48.99,Jothi Muthuramalingam,ADMK,39029,26.12,34176
194,Sellur K. Raju,ADMK,83883,41.59,C. Chinnammal,DMK,74762,37.07,9121
195,V. V. Rajan Chellappa,ADMK,103683,43.96,S. K. Ponnuthai,CPI(M),74194,31.46,29489
196,R. B. Udhaya Kumar,ADMK,100338,45.51,M. Maniraman,DMK,86251,39.12,14087
197,P. Ayyappan,ADMK,71255,33.53,P. V. Kathiravan,DMK,63778,30.01,7477
198,A. Maharajan,DMK,93541,44.64,A. Logirajan,ADMK,85003,40.57,8538
199,K. S. Saravana Kumar,DMK,92251,45.71,M. Murugan,ADMK,70930,35.15,21321
200,O. Panneerselvam,ADMK,100050,46.58,Thanga Tamil Selvan,DMK,89029,41.45,11021
201,N. Eramakrishnan,DMK,104800,51.81,S. P. M. Syed Khan,ADMK,62387,30.84,42413
202,S. Thangappandian,DMK,74158,41.5,K. T. Rajenthra Bhalaji,ADMK,70260,39.32,3898
203,E. M. Manraj,ADMK,70475,38.09,P. S. W. Madhava Rao †,INC,57737,31.2,12738
204,A. R. R. Raghuraman,DMK,74174,38.68,R. K. Ravichandran,ADMK,62995,32.85,11179
205,A. M. S. G. Ashokan,INC,78947,42.66,Lakshmi Ganesan,ADMK,61628,33.3,17319
206,A. R. R. Seenivasan,DMK,73297,45.32,G. Pandurangan,BJP,51598,32.13,21699
207,Sattur Ramachandran,DMK,91040,53.18,Vaigaichelvan,ADMK,52006,30.38,39034
208,Thangam Thennarasu,DMK,102225,59.15,S. Rajasekar,ADMK,41233,23.86,60992
209,S. Murugesan,DMK,84864,46.59,N. Sadhan Prabhakar,ADMK,71579,39.3,13285
210,R. M. Karumanikam,INC,79364,39.33,K. C. Animuthu,ADMK,65512,32.46,13852
211,K. Muthuramalingam,DMK,111082,51.88,D. Kuppuram,BJP,60603,28.31,50479
212,R. S. Raja Kannappan,DMK,101901,46.06,Keerthika Muniyasamy,ADMK,81180,36.7,20721
213,G. V. Markandayan,DMK,90348,54.05,P. Chinnappan,ADMK,51799,30.99,38549
214,P. Geetha Jeevan,DMK,92314,49.0,S. D. R. Vijayaseelan,ADMK,42004,22.29,50310
215,Anitha R. Radhakrishnan,DMK,88274,50.58,M. Radhakrishnan,ADMK,63011,36.1,25263
216,Oorvasi S. Amirtharaj,INC,76843,46.75,S. P. Shanmuganathan,ADMK,59471,36.18,17372
217,M. C. Shunmugaiah,DMK,73110,41.11,P. Mohan,ADMK,64600,36.32,8510
218,Kadambur C. Raju,ADMK,68556,37.89,T. T. V. Dhinakaran,AMMK,56153,31.04,12403
219,E. Raja,DMK,71347,38.92,V. M. Rajalakshmi,ADMK,66050,36.03,5297
220,Dr. T. Sadhan Tirumalaikumar,DMK,68730,39.08,A. Manoharan,ADMK,66363,37.7,2367
221,C. Krishnamurali,ADMK,88474,43.08,K. A. M. Muhammed Abubacker,IUML,64125,31.22,24349
222,S. Palani Nadar,INC,89315,41.71,S. Selvamohandas Pandian,ADMK,88945,41.54,370
223,P. H. Manoj Pandian,ADMK,74153,36.44,Dr. Poongothai Aladi Aruna,DMK,70614,34.7,3539
224,Nainar Nagendran,BJP,92282,46.7,A. L. S. Lakshmanan,DMK,69175,35.01,23107
225,E. Subaya,ADMK,85211,47.96,R. Avudaiappan,DMK,68296,38.44,16915
226,M. Abdul Wahab,DMK,89117,55.32,G. Gerald,ADMK,36976,22.95,52141
227,Ruby R. Manoharan,INC,75902,39.43,Ganesa Raja,ADMK,59416,30.86,16486
228,M. Appavu,DMK,82331,43.95,I.S. Inbudurai,ADMK,76406,40.79,5925
229,N. Thalavai Sundaram,ADMK,109745,48.8,S. Austin,DMK,93532,41.59,16213
230,M. R. Gandhi,BJP,88804,48.21,N. Suresh Rajan,DMK,77135,41.88,11669
231,J. G. Prince,INC,90681,49.56,P. Ramesh,BJP,65849,35.99,24832
232,Mano Thangaraj,DMK,87744,51.57,D. John Thangam,ADMK,60859,35.77,26885
233,S. Vijayadharani,INC,87473,52.12,R. Jayaseelan,BJP,58804,35.04,28669
234,S. Rajeshkumar,INC,101541,59.76,K. V. Jude Dev,ADMK,46141,27.15,55400
